Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"Acceptance: A Novel (The Southern Reach Trilogy) Paperback – September 2, 2014",13.24,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,374104115,352,"FSG Originals; First Edition edition (September 2, 2014)",English,5.1 x 0.9 x 7.5 inches,8.8 ounces,3.4
"Uncompromising Honor (Honor Harrington) Hardcover – October 2, 2018",23.71,Books > Science Fiction & Fantasy > Science Fiction,David Weber,1481483501,,"Baen (October 2, 2018)",English,6.1 x 9.2 inches,1.7 pounds,
"The Alice Network: A Novel Paperback – Deckle Edge, June 6, 2017",10.70,Books > Literature & Fiction > Genre Fiction,Kate Quinn,62654195,528,"William Morrow Paperbacks (June 6, 2017)",English,5.3 x 0.8 x 8 inches,12.8 ounces,4.7
"The Fallen (Memory Man series) Hardcover – April 17, 2018",18.14,Books > Literature & Fiction > Action & Adventure,David Baldacci,1538761394,,"Grand Central Publishing (April 17, 2018)",English,1.1 x 1.1 inches,1.7 pounds,
"Eleanor Oliphant Is Completely Fine: A Novel Hardcover – May 9, 2017",18.16,Books > Literature & Fiction > Women's Fiction,Gail Honeyman,735220689,,"Pamela Dorman Books; F First Edition edition (May 9, 2017)",English,6.3 x 1.2 x 9.3 inches,1.2 pounds,4.7
"The Punishment She Deserves: A Lynley Novel Hardcover – March 20, 2018",18.30,"Books > Mystery, Thriller & Suspense > Mystery",Elizabeth George,525954341,,"Viking (March 20, 2018)",English,6.4 x 2 x 9.6 inches,2.2 pounds,5
"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row Hardcover – January 22, 2018",19.43,Books > Biographies & Memoirs > True Crime,James Patterson Alex Abramovich Mike Harvkey,316412651,,"Little, Brown and Company (January 22, 2018)",English,6.5 x 1.4 x 9.5 inches,1.4 pounds,4.2
"Everything I Never Told You Paperback – May 12, 2015",12.80,Books > Literature & Fiction > Genre Fiction,Celeste Ng,143127551,297,"Penguin Books; Reprint edition (May 12, 2015)",English,5.1 x 0.6 x 7.8 inches,8 ounces,4.1
"Palace of Treason: A Novel (The Red Sparrow Trilogy) Paperback – June 13, 2017",9.34,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,147679376X,496,"Scribner; Reprint edition (June 13, 2017)",English,5.2 x 1 x 8 inches,13.4 ounces,4.6
"The Rooster Bar Hardcover – October 24, 2017",15.28,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,385541171,,"Doubleday; 1st Edition edition (October 24, 2017)",English,6.4 x 1.2 x 9.5 inches,1.4 pounds,3.7
"Holy Ghost Hardcover – October 2, 2018",26.10,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Sandford,735217327,,"G.P. Putnam's Sons (October 2, 2018)",English,6 x 1.2 x 9 inches,1.4 pounds,
"Lord of the Flies Mass Market Paperback – Antique Books, December 16, 2003",8.89,Books > Literature & Fiction > Genre Fiction,William Golding,399501487,224,"Penguin Books; Reissue edition (December 16, 2003)",English,4.2 x 0.6 x 7.6 inches,4 ounces,4.2
"The Masterpiece Hardcover – February 6, 2018",17.10,Books > Christian Books & Bibles > Literature & Fiction,Francine Rivers,1496407903,,"Tyndale House Publishers, Inc. (February 6, 2018)",English,5.7 x 1.8 x 8.9 inches,1.6 pounds,4.8
"The Wife Between Us: A Novel Hardcover – January 9, 2018",16.19,Books > Literature & Fiction > Women's Fiction,Greer Hendricks Sarah Pekkanen,1250130921,,"St. Martin's Press (January 9, 2018)",English,6.4 x 1.3 x 9.6 inches,1.2 pounds,4.2
"To Kill a Mockingbird Paperback – July 5, 2005",8.99,Books > Literature & Fiction > Classics,Harper Lee,60935464,336,Harper Perennial Modern Classics (2002),English,5.2 x 1 x 8.2 inches,9 ounces,4.7
"Annihilation: A Novel (The Southern Reach Trilogy) Paperback – February 4, 2014",8.41,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,374104093,208,"FSG Originals; First Edition edition (February 4, 2014)",English,5.1 x 0.6 x 7.5 inches,5.6 ounces,3.6
"The Light We Lost Paperback – February 6, 2018",10.07,Books > Literature & Fiction > Women's Fiction,Jill Santopolo,735212767,352,"G.P. Putnam's Sons; Reprint edition (February 6, 2018)",English,5.1 x 0.9 x 8 inches,9.4 ounces,4.2
"The Handmaid's Tale Paperback – March 16, 1998",9.59,Books > Literature & Fiction > Genre Fiction,Margaret Atwood,038549081X,311,"Anchor; 1st Anchor Books edition (March 16, 1998)",English,5.2 x 0.7 x 8 inches,4.8 ounces,4.1
"The Great Gatsby Paperback – September 30, 2004",10.49,Books > Literature & Fiction > Classics,F. Scott Fitzgerald,743273567,180,"Scribner (September 30, 2004)",English,5.2 x 0.4 x 8 inches,5.6 ounces,4.3
"Still Me: A Novel Hardcover – January 30, 2018",17.70,Books > Literature & Fiction > Genre Fiction,Jojo Moyes,399562451,,"Pamela Dorman Books (January 30, 2018)",English,6.4 x 1.3 x 9.3 inches,1.4 pounds,4.7
"Past Tense: A Jack Reacher Novel Hardcover – November 5, 2018",26.09,Books > Literature & Fiction > Action & Adventure,Lee Child,399593519,,"Delacorte Press (November 5, 2018)",English,6 x 1 x 9 inches,1.4 pounds,
"Red Sparrow: A Novel (The Red Sparrow Trilogy) Mass Market Paperback – February 20, 2018",8.30,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501168916,576,"Pocket Books; Media Tie-In edition (February 20, 2018)",English,4.1 x 1.3 x 7.5 inches,10.9 ounces,4.4
"The Outsider Hardcover – May 22, 2018",19.49,Books > Literature & Fiction > Genre Fiction,Stephen King,1501180983,,"Scribner (May 22, 2018)",English,6.1 x 9.2 inches,12 pounds,
"Go the F**k to Sleep Hardcover – June 14, 2011",12.35,Books > Humor & Entertainment > Humor,Adam Mansbach Ricardo Cortés,1617750255,,"Akashic Books; 1st edition (June 14, 2011)",English,8.5 x 0.2 x 6.5 inches,7.2 ounces,4.7
"The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the Mass Market Paperback – September 25, 2012",22.99,Books > Literature & Fiction > Genre Fiction,J.R.R. Tolkien,345538374,1728,"Del Rey (September 25, 2012)",English,4.2 x 4.3 x 7 inches,2 pounds,4.7
"High Voltage (Fever) Hardcover – March 6, 2018",18.30,Books > Science Fiction & Fantasy > Fantasy,Karen Marie Moning,399593667,,"Delacorte Press (March 6, 2018)",English,6.2 x 1.5 x 9.5 inches,1.6 pounds,4.7
"Oathbringer: Book Three of the Stormlight Archive Hardcover – November 14, 2017",21.21,Books > Literature & Fiction > Action & Adventure,Brandon Sanderson,076532637X,,"Tor Books (November 14, 2017)",English,6.4 x 2.3 x 9.6 inches,3 pounds,4.6
"Dungeons & Dragons Starter Set Book Supplement – July 15, 2014",16.97,Books > Humor & Entertainment > Puzzles & Games,Wizards RPG Team,786965592,,"Wizards of the Coast; Brdgm edition (July 15, 2014)",English,9.1 x 2.1 x 11.6 inches,1 pounds,4.5
"Chronicles of Narnia Box Set Paperback – Box set, October 19, 2010",30.64,Books > Children's Books > Science Fiction & Fantasy,C. S. Lewis,61992887,,"HarperCollins Narnia; Media Tie In edition (October 19, 2010)",English,4.3 x 4.3 x 7 inches,1.6 pounds,4.7
"Brave New World Paperback – October 17, 2006",12.99,Books > Science Fiction & Fantasy > Science Fiction,Aldous Huxley,60850523,288,"Harper Perennial; Reprint edition (October 18, 2006)",English,5.3 x 0.6 x 8 inches,5.6 ounces,4.2
"Sword Coast Adventurer's Guide (D&D Accessory) Hardcover – November 3, 2015",29.29,Books > Humor & Entertainment > Puzzles & Games,Wizards RPG Team,786965800,,"Wizards of the Coast (November 3, 2015)",English,8.5 x 0.5 x 11.2 inches,1.3 pounds,4
"The Shape of Water Hardcover – March 6, 2018",18.59,Books > Literature & Fiction > Genre Fiction,Daniel Kraus,1250165342,,"Feiwel & Friends (March 6, 2018)",English,6.4 x 1.1 x 9.2 inches,1 pounds,3.8
"Saga Volume 8 Paperback – January 2, 2018",9.64,Books > Science Fiction & Fantasy > Science Fiction,Brian K Vaughan,1534303499,152,"Image Comics (January 2, 2018)",English,6.4 x 0.5 x 10 inches,11 ounces,4.5
"Slaughterhouse-Five: A Novel (Modern Library 100 Best Novels) Paperback – January 12, 1999",11.39,Books > Literature & Fiction > Genre Fiction,Kurt Vonnegut,385333846,288,"Dial Press Trade Paperback; Reissue edition (January 12, 1999)",English,5.3 x 0.7 x 8 inches,8.5 ounces,4.2
"Iron Gold: Book 4 of the Red Rising Saga (Red Rising Series) Hardcover – January 16, 2018",19.04,Books > Literature & Fiction > Action & Adventure,Pierce Brown,042528591X,,"Del Rey (January 16, 2018)",English,6.5 x 1.6 x 9.5 inches,1.9 pounds,4.4
"Animal Farm: 1984 Hardcover – June 1, 2003",13.59,Books > Humor & Entertainment > Humor,George Orwell,151010269,,"Houghton Mifflin Harcourt; 1 edition (June 1, 2003)",English,5.5 x 1.2 x 8.2 inches,1.1 pounds,4.5
"It: A Novel Paperback – September 5, 2017",12.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501175467,1184,"Scribner; Media Tie-In edition (September 5, 2017)",English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4.5
"The Alienist (TNT Tie-in Edition): A Novel Paperback – November 21, 2017",10.70,Books > Literature & Fiction > Genre Fiction,Caleb Carr,525510273,512,"Random House Trade Paperbacks; Media Tie In edition (November 21, 2017)",English,5.2 x 1.1 x 7.9 inches,10.4 ounces,4.4
"The Couple Next Door: A Novel Paperback – May 30, 2017",12.80,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Shari Lapena,735221103,336,"Penguin Books; Reprint edition (May 30, 2017)",English,5.2 x 0.6 x 8 inches,8 ounces,4.1
"Night Moves: An Alex Delaware Novel Hardcover – February 13, 2018",18.26,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jonathan Kellerman,345541464,,"Ballantine Books (February 13, 2018)",English,6.4 x 1.2 x 9.6 inches,1.4 pounds,4.4
"The Disappeared (A Joe Pickett Novel) Hardcover – March 27, 2018",17.70,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",C. J. Box,399176624,,"G.P. Putnam's Sons (March 27, 2018)",English,6.4 x 1.3 x 9.3 inches,1.3 pounds,
"Sunburn: A Novel Hardcover – February 20, 2018",17.70,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Laura Lippman,62389920,,"William Morrow (February 20, 2018)",English,6 x 1 x 9 inches,12 ounces,4.2
"Look for Me (D. D. Warren) Hardcover – February 6, 2018",16.56,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,1524742058,,"Dutton (February 6, 2018)",English,6.3 x 1.3 x 9.3 inches,1.5 pounds,4.3
"The Flight Attendant: A Novel Hardcover – March 13, 2018",16.20,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Chris Bohjalian,385542410,,"Doubleday (March 13, 2018)",English,6.5 x 1.5 x 9.5 inches,1.4 pounds,4.3
"The Last Mrs. Parrish: A Novel Hardcover – October 17, 2017",17.67,Books > Literature & Fiction > Women's Fiction,Liv Constantine,62667572,,"Harper; First Edition edition (October 17, 2017)",English,6 x 1.2 x 9 inches,1.4 pounds,4.2
"The Woman in Cabin 10 Paperback – April 11, 2017",9.80,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ruth Ware,1501132954,384,"Gallery/Scout Press; Reprint edition (April 11, 2017)",English,5.3 x 1 x 8.2 inches,8 ounces,3.8
"The Rising Sea (The NUMA Files) Hardcover – March 13, 2018",18.90,Books > Literature & Fiction > Action & Adventure,Clive Cussler,735215537,,"G.P. Putnam's Sons (March 13, 2018)",English,6.2 x 1.6 x 9.3 inches,1.4 pounds,5
"Big Little Lies Paperback – August 11, 2015",12.78,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Liane Moriarty,425274861,512,"Berkley; Reprint edition (August 11, 2015)",English,5.5 x 1.1 x 8.2 inches,1.6 pounds,4.5
"Hamilton: The Revolution Hardcover – April 12, 2016",28.20,Books > Arts & Photography > Performing Arts,Lin-Manuel Miranda Jeremy McCarter,1455539740,,"Grand Central Publishing; First Edition edition (April 12, 2016)",English,9 x 1.6 x 10.6 inches,2.7 pounds,4.8
"Lincoln in the Bardo: A Novel Paperback – February 6, 2018",10.70,Books > Literature & Fiction > Genre Fiction,George Saunders,812985400,368,"Random House Trade Paperbacks; Reprint edition (February 6, 2018)",English,5.5 x 0.8 x 8.2 inches,11.4 ounces,3.6
"All the Light We Cannot See: A Novel Paperback – April 4, 2017",9.98,Books > Literature & Fiction > Genre Fiction,Anthony Doerr,1501173219,544,"Scribner; Reprint edition (April 4, 2017)",English,5.2 x 1.1 x 8 inches,13.4 ounces,4.6
"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed) Paperback – Box set, June 12, 2012",26.49,Books > Literature & Fiction > Women's Fiction,E L James,034580404X,1625,"Vintage; Box edition (June 12, 2012)",English,5.2 x 3 x 8 inches,2.7 pounds,4.2
