Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"D&D DUNGEON TILES REINCARNATED: WILDERNESS Game – January 23, 2018",18.04,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,786966319,,"Wizards of the Coast; Brdgm edition (January 23, 2018)",English,9.1 x 2.2 x 12 inches,4.5 pounds,4.1
"Paper Girls Volume 1 Paperback – April 5, 2016",9.99,Books > Comics & Graphic Novels > Graphic Novels,Brian K Vaughan Cliff Chiang,1632156741,144,"Image Comics (April 5, 2016)",English,6.6 x 0.4 x 10.1 inches,11.2 ounces,4.3
"The Wheel of Time, Boxed Set II, Books 4-6: The Shadow Rising, The Fires of Heaven, Lord of Chaos Mass Market Paperback – Box set, October 27, 2005",16.32,Books > Science Fiction & Fantasy > Fantasy,Robert Jordan,812540115,,"Tor Books; 1 edition (November 15, 1997)",English,4.2 x 4.9 x 6.9 inches,3.1 pounds,4.7
"Twice Bitten: An Argeneau Novel Mass Market Paperback – March 27, 2018",7.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lynsay Sands,62468979,384,"Avon (March 27, 2018)",English,4.2 x 1 x 6.6 inches,6.4 ounces,
"Twenty-one Days: A Daniel Pitt Novel Hardcover – April 10, 2018",18.30,Books > Literature & Fiction > Genre Fiction,Anne Perry,399179887,,"Ballantine Books (April 10, 2018)",English,6.1 x 0.8 x 9.2 inches,1.2 pounds,4.3
"The Lost Symbol Paperback – May 1, 2012",12.99,Books > Literature & Fiction > Action & Adventure,Dan Brown,307950689,624,"Anchor; Reprint edition (May 1, 2012)",English,5.1 x 1.1 x 8 inches,1 pounds,4
"Atonement: A Novel Paperback – February 25, 2003",9.25,Books > Literature & Fiction > Genre Fiction,Ian McEwan,038572179X,351,"Anchor Books; 1st edition (February 25, 2003)",English,5.2 x 0.8 x 7.9 inches,9.6 ounces,3.9
"30 Days of Justis (Michael Gresham Legal Thrillers) Paperback – February 4, 2018",9.04,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Ellsworth,1977061451,360,"Independently published (February 4, 2018)",English,6 x 0.9 x 9 inches,1.4 pounds,4.7
"Lie to Me: A Fast-Paced Psychological Thriller Paperback – September 5, 2017",10.75,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",J.T. Ellison,778330958,416,"MIRA (September 5, 2017)",English,6 x 1.1 x 9 inches,1 pounds,4.2
The Picture of Dorian Gray (Dover Thrift Editions) Reprint Edition,,Books > Gay & Lesbian > Literature & Fiction,Oscar Wilde,486278077,176,"Dover Publications; Reprint edition (October 13, 1993)",English,5.2 x 0.5 x 8.2 inches,4.8 ounces,4.3
"Die Trying (Jack Reacher) Mass Market Paperback – November 28, 2006",8.06,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lee Child,515142247,567,"Jove (November 28, 2006)",English,4.2 x 1.2 x 7.6 inches,10.7 ounces,4.4
"The Black Echo (A Harry Bosch Novel) Paperback – April 25, 2017",10.87,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Michael Connelly,1538744406,432,"Grand Central Publishing; Reprint edition (April 25, 2017)",English,5.2 x 1.2 x 8.2 inches,11.2 ounces,4.5
"Open Season (A Joe Pickett Novel) Paperback – May 31, 2016",8.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",C. J. Box,399576606,352,"G.P. Putnam's Sons; Premium edition (May 31, 2016)",English,4.2 x 0.9 x 7.5 inches,0.3 ounces,4.4
"The Lost World: A Novel (Jurassic Park) Mass Market Paperback – October 30, 2012",7.99,Books > Literature & Fiction > Action & Adventure,Michael Crichton,345538994,432,"Ballantine Books; Reprint edition (October 30, 2012)",English,4.2 x 1.1 x 7.5 inches,9.6 ounces,4.5
"Natchez Burning: A Novel (Penn Cage) Paperback – August 4, 2015",11.69,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Greg Iles,62311085,816,"William Morrow Paperbacks; Reprint edition (August 4, 2015)",English,5.3 x 1.3 x 8 inches,12.6 ounces,4.4
"Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot Mysteries) Mass Market Paperback – October 31, 2017",7.16,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Agatha Christie,62693662,304,"William Morrow; Reprint edition (October 31, 2017)",English,4.2 x 0.7 x 7.5 inches,6.4 ounces,4.4
"The Woman in the Water: A Prequel to the Charles Lenox Series (Charles Lenox Mysteries) Hardcover – February 20, 2018",19.99,"Books > Mystery, Thriller & Suspense > Mystery",Charles Finch,1250139465,,"Minotaur Books (February 20, 2018)",English,6.3 x 1.2 x 9.4 inches,1 pounds,4.7
"The Woman in the Window: The Most Exciting Debut Thriller of the Year Paperback – January 1, 2018",10.87,Books > Literature & Fiction > Genre Fiction,A. J. Finn,8234167,,"William Morrow; 1st Edition edition (January 1, 2018)",English,6 x 1.3 x 9.2 inches,1.3 pounds,4
"A Long Way from Home: A novel Hardcover – Deckle Edge, February 27, 2018",17.67,Books > Literature & Fiction > Genre Fiction,Peter Carey,525520171,,"Knopf (February 27, 2018)",English,6.6 x 1.1 x 9.6 inches,1.4 pounds,4.4
"Uncommon Type: Some Stories Hardcover – Deckle Edge, October 17, 2017",15.06,Books > Literature & Fiction > Short Stories & Anthologies,Tom Hanks,1101946156,,"Knopf; 1st Edition edition (October 17, 2017)",English,5.4 x 1.1 x 8.1 inches,1.2 pounds,3.9
"The Wonderful World of Dr. Seuss 20 Reading Books Collection Gift Box Set Hardcover – Box set, January 1, 2000",59.99,Books > Literature & Fiction > Poetry,Dr. Seuss,7922736,,"HarperCollins Publishers Ltd (January 1, 2000)",English,6.6 x 4.6 x 7.6 inches,5 pounds,3.9
"The Stone Sky (The Broken Earth) Paperback – August 15, 2017",13.15,Books > Literature & Fiction > Action & Adventure,N. K. Jemisin,316229245,464,"Orbit (August 15, 2017)",English,5.5 x 1.2 x 8.2 inches,15.2 ounces,4.6
"Noir: A Novel Hardcover – April 17, 2018",18.29,Books > Humor & Entertainment > Humor,Christopher Moore,62433970,,"William Morrow (April 17, 2018)",English,6 x 1.1 x 9 inches,1.4 pounds,4
"Outlander Mass Market Paperback – June 2, 1992",8.98,"Books > Crafts, Hobbies & Home > Crafts & Hobbies",Diana Gabaldon,440212561,850,"Dell; Reissue edition (June 2, 1992)",English,4.2 x 1.5 x 6.9 inches,11.2 ounces,4.6
"The Greatest Salesman in the World Mass Market Paperback – January 1, 1983",7.99,Books > Christian Books & Bibles > Christian Living,Og Mandino,055327757X,128,"Bantam; 54th printing edition (February 1, 1983)",English,4.1 x 0.4 x 6.9 inches,0.3 ounces,4.7
"The Five People You Meet in Heaven Paperback – Deckle Edge, March 1, 2006",8.88,Books > Literature & Fiction > Genre Fiction,Mitch Albom,1401308589,196,"Hachette Books; Reprint edition (April 7, 2003)",English,5.1 x 0.5 x 7.1 inches,11.2 ounces,4.6
"Injustice: Gods Among Us: Year Two The Complete Collection Paperback – January 17, 2017",19.99,Books > Comics & Graphic Novels > Graphic Novels,Tom Taylor,140126560X,312,"DC Comics (January 17, 2017)",English,6.6 x 0.5 x 10.2 inches,1.2 pounds,4.8
"Batman: Hush Paperback – August 18, 2009",19.18,Books > Comics & Graphic Novels > Graphic Novels,Jeph LoebJim Lee,1401223176,320,"DC Comics (August 18, 2009)",English,6.6 x 0.4 x 10.2 inches,1.2 pounds,4.7
"Bloodline (Star Wars) Paperback – January 31, 2017",8.99,Books > Science Fiction & Fantasy > Science Fiction,Claudia Gray,1101885262,432,"Del Rey (January 31, 2017)",English,4.2 x 1 x 7.5 inches,7.8 ounces,4.4
"A Game of Thrones: The Illustrated Edition: A Song of Ice and Fire: Book One Hardcover – Illustrated, October 18, 2016",22.66,Books > Literature & Fiction > Action & Adventure,George R. R. Martin,553808044,,"Bantam; Anniversary, Illustrated edition (October 18, 2016)",English,6.5 x 2.7 x 9.4 inches,3 pounds,4.6
"The Magician's Land: A Novel (Magicians Trilogy) Paperback – June 9, 2015",10.45,Books > Literature & Fiction > Genre Fiction,Lev Grossman,147516145,416,"Penguin Books; Reprint edition (June 9, 2015)",English,5.5 x 0.9 x 8.4 inches,12 ounces,4.5
"Ashes of Victory (Honor Harrington) Leather Bound – September 4, 2018",30.23,Books > Science Fiction & Fantasy > Science Fiction,David Weber,1481483455,,"Baen (September 4, 2018)",English,,1.7 pounds,4.2
"Batman: The Golden Age Omnibus Vol. 6 Hardcover – November 20, 2018",86.60,Books > Comics & Graphic Novels > Graphic Novels,Various,1401284388,,"DC Comics (November 20, 2018)",English,,1.2 pounds,
"Watchers Mass Market Paperback – January 28, 2003",8.99,Books > Literature & Fiction > Genre Fiction,Dean Koontz,425188809,624,"Berkley (January 28, 2003)",English,4.2 x 1.3 x 7.6 inches,11.2 ounces,4.8
"Life Debt: Aftermath (Star Wars) (Star Wars: The Aftermath Trilogy) Paperback – March 28, 2017",8.99,Books > Literature & Fiction > Genre Fiction,Chuck Wendig,1101966955,512,"Del Rey (March 28, 2017)",English,4.2 x 1 x 7.5 inches,7 ounces,3.8
"CyberStorm Paperback – March 23, 2013",11.69,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Matthew Mather,991677196,362,"PhutureNews Publishing; 1 edition (March 23, 2013)",English,6 x 0.8 x 9 inches,1.4 pounds,4.3
"The Once and Future King Mass Market Paperback – July 15, 1987",8.99,Books > Science Fiction & Fantasy > Fantasy,T. H. White,441627404,639,Ace Books; Reprint edition (June 1987),English,4.2 x 1.4 x 6.8 inches,6.4 ounces,4.2
"Enigma (An FBI Thriller) Paperback – February 27, 2018",11.00,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Catherine Coulter,1501189832,496,"Gallery Books; Reprint edition (February 27, 2018)",English,5.3 x 1.2 x 8.2 inches,13.1 ounces,4.6
"The Family Lawyer Paperback – September 5, 2017",11.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,1538711338,496,"Grand Central Publishing; First Edition edition (September 5, 2017)",English,5.5 x 1.4 x 8.1 inches,13.8 ounces,4
"The Girls: A Novel Paperback – May 9, 2017",12.69,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Emma Cline,812988027,368,"Random House Trade Paperbacks; Reprint edition (May 9, 2017)",English,5.2 x 0.8 x 8 inches,9.6 ounces,3.4
"What She Knew: A Novel Paperback – December 1, 2015",10.97,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Gilly Macmillan,62413864,512,"William Morrow Paperbacks (December 1, 2015)",English,5.3 x 0.8 x 8 inches,12.8 ounces,4.2
"The Cartel Paperback – February 28, 2017",8.98,Books > Literature & Fiction > United States,Ashley & JaQuavis,1622865022,288,"Urban Books (February 28, 2017)",English,5.5 x 0.8 x 8.2 inches,9.6 ounces,4.7
"The Cartel 5: La Bella Mafia Mass Market Paperback – December 27, 2016",7.25,Books > Literature & Fiction > United States,Ashley & JaQuavis,162286736X,304,"Urban Books (December 27, 2016)",English,4.2 x 1 x 6.8 inches,6.4 ounces,4.6
"The Fast and the Furriest (Second Chance Cat Mystery) Mass Market Paperback – February 6, 2018",6.15,"Books > Mystery, Thriller & Suspense > Mystery",Sofie Ryan,1101991224,304,"Berkley (February 6, 2018)",English,4.2 x 0.8 x 6.8 inches,5.3 ounces,4.8
"The Power of One: A Novel Paperback – September 29, 1996",11.74,Books > Literature & Fiction > Genre Fiction,Bryce Courtenay,034541005X,544,"Ballantine Books; Media Tie In edition (September 29, 1996)",English,5.5 x 1.1 x 8.2 inches,14.4 ounces,4.7
"If I'm Found (If I Run Series) Paperback – March 21, 2017",8.79,Books > Christian Books & Bibles > Literature & Fiction,Terri Blackstock,310332486,384,"Zondervan (March 21, 2017)",English,5.5 x 1 x 8.4 inches,11.2 ounces,4.8
"The Good Girl: An addictively suspenseful and gripping thriller Paperback – February 24, 2015",10.26,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Mary Kubica,778317765,384,"MIRA; Reprint edition (February 24, 2015)",English,5.4 x 1 x 8.2 inches,11.4 ounces,4.2
"The English Wife: A Novel Hardcover – January 9, 2018",16.85,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lauren Willig,1250056276,,"St. Martin's Press (January 9, 2018)",English,6.5 x 1.3 x 9.4 inches,1.2 pounds,4.2
"Mr. Mercedes: A Novel (The Bill Hodges Trilogy) Paperback – January 6, 2015",12.22,"Books > Mystery, Thriller & Suspense > Mystery",Stephen King,1476754470,448,"Gallery Books; Reprint edition (January 6, 2015)",English,5.3 x 1.3 x 8.2 inches,13.6 ounces,4.4
"Thrawn (Star Wars) Paperback – January 30, 2018",9.40,Books > Literature & Fiction > Action & Adventure,Timothy Zahn,1101967021,496,"Del Rey; Reprint edition (January 30, 2018)",English,4.2 x 1.2 x 7.5 inches,9.3 ounces,4.7
"Life of Pi Paperback – Black & White, May 1, 2003",9.89,Books > Literature & Fiction > Action & Adventure,Yann Martel,156027321,326,"Mariner Books (May 1, 2003)",English,5.3 x 0.9 x 8 inches,7.8 ounces,4.4
"Beach House Reunion (The Beach House) Hardcover – May 22, 2018",18.18,Books > Literature & Fiction > Genre Fiction,Mary Alice Monroe,1501193295,,"Gallery Books (May 22, 2018)",English,6 x 9 inches,1.7 pounds,
"The Night Circus Paperback – July 3, 2012",9.89,Books > Literature & Fiction > Genre Fiction,Erin Morgenstern,307744434,516,"Anchor Books; 1st edition (July 3, 2012)",English,5.2 x 1 x 8 inches,12.8 ounces,4.4
"The Prophet (A Borzoi Book) Hardcover – September 23, 1923",8.99,Books > Literature & Fiction > Poetry,Kahlil Gibran,394404289,,"Alfred A. Knopf (September 23, 1923)",English,5.7 x 0.5 x 8.5 inches,11.2 ounces,4.7
"The Last Days of Night: A Novel Paperback – May 23, 2017",13.60,Books > Literature & Fiction > Genre Fiction,Graham Moore,812988922,384,"Random House Trade Paperbacks; Reprint edition (May 23, 2017)",English,5.2 x 0.8 x 8 inches,9.9 ounces,4.5
"This Is How It Always Is: A Novel Paperback – January 23, 2018",11.55,Books > Gay & Lesbian > Literature & Fiction,Laurie Frankel,1250088569,336,"Flatiron Books; Reprint edition (January 23, 2018)",English,5.7 x 0.9 x 8.2 inches,9.8 ounces,4.6
"The Orphan's Tale: A Novel Paperback – February 21, 2017",9.67,Books > Literature & Fiction > Genre Fiction,Pam Jenoff,778319814,368,"MIRA; 1st edition (February 21, 2017)",English,6.1 x 1 x 9 inches,4 ounces,4.4
"The President Is Missing Hardcover – June 4, 2018",20.40,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Bill Clinton James Patterson,316412694,,"Little, Brown and Company and Knopf (June 4, 2018)",English,1.1 x 1.1 inches,1.7 pounds,
"Golden Son: Book 2 of the Red Rising Saga (Red Rising Series) Paperback – July 7, 2015",13.59,Books > Literature & Fiction > Action & Adventure,Pierce Brown,345539834,464,"Del Rey; Reprint edition (July 7, 2015)",English,5.5 x 1 x 8.2 inches,12 ounces,4.7
"Uprooted: A Novel Paperback – March 1, 2016",11.13,Books > Science Fiction & Fantasy > Fantasy,Naomi Novik,804179050,464,"Del Rey; Reprint edition (March 1, 2016)",English,5.6 x 1 x 8.3 inches,12.6 ounces,4.6
"The Last Unicorn Paperback – Unabridged, January 1, 1991",10.87,Books > Comics & Graphic Novels > Graphic Novels,Peter S. Beagle,451450523,304,"Ace; Reissue edition (January 1, 1991)",English,5.3 x 0.6 x 8 inches,8.5 ounces,4.5
"Dune Messiah (The Dune Chronicles, Book 2) Mass Market Paperback – July 15, 1987",7.65,Books > Science Fiction & Fantasy > Fantasy,Frank Herbert,441172695,336,"Ace (July 15, 1987)",English,4.2 x 0.9 x 6.9 inches,7.2 ounces,4.2
"The Wind Through the Keyhole: The Dark Tower IV-1/2 Paperback – December 6, 2016",9.28,Books > Literature & Fiction > Genre Fiction,Stephen King,1501166220,320,"Scribner; Reprint edition (December 6, 2016)",English,5.5 x 0.7 x 8.4 inches,9.9 ounces,4.6
"The Buried Giant (Vintage International) Paperback – January 5, 2016",11.15,Books > Science Fiction & Fantasy > Fantasy,Kazuo Ishiguro,307455793,336,"Vintage; Reprint edition (January 5, 2016)",English,5.2 x 0.7 x 8 inches,12.6 ounces,3.7
"Overlord, Vol. 5 (light novel): The Men of the Kingdom Part I Hardcover – September 19, 2017",12.23,Books > Science Fiction & Fantasy > Science Fiction,Kugane Maruyama,031639761X,,"Yen On (September 19, 2017)",English,5.8 x 1 x 8.6 inches,15.2 ounces,4.7
"Wicked: The Life and Times of the Wicked Witch of the West (Wicked Years) Mass Market Paperback – Print, September 25, 2007",6.34,Books > Science Fiction & Fantasy > Fantasy,Gregory Maguire,61350966,560,"Harper; Mass Paperback Edition edition (September 25, 2007)",English,4.2 x 1.1 x 6.8 inches,8.8 ounces,3.8
"Doctor Who: The Lost Dimension Book One Hardcover – February 20, 2018",16.50,Books > Comics & Graphic Novels > Graphic Novels,Cavan Scott,1785863460,,"Titan Comics (February 20, 2018)",English,6.9 x 0.4 x 10.5 inches,14.6 ounces,5
"Empire's End: Aftermath (Star Wars) (Star Wars: The Aftermath Trilogy) Paperback – August 29, 2017",6.08,Books > Science Fiction & Fantasy > Science Fiction,Chuck Wendig,110196698X,512,"Del Rey; Reprint edition (August 29, 2017)",English,4.2 x 1 x 7.5 inches,6.4 ounces,3.7
"Rick and Morty Vol. 1 Paperback – December 1, 2015",11.69,Books > Comics & Graphic Novels > Graphic Novels,Zac Gorman,1620102811,128,"Oni Press (December 1, 2015)",English,6.5 x 0.5 x 10 inches,11.2 ounces,4.6
"Dark Sentinel (Carpathian Novel, A) Hardcover – September 4, 2018",24.30,Books > Literature & Fiction > Genre Fiction,Christine Feehan,451490088,,"Berkley (September 4, 2018)",English,6 x 1 x 9 inches,1.4 pounds,
"Mississippi Blood: The Natchez Burning Trilogy Mass Market Paperback – December 26, 2017",6.29,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Greg Iles,62311182,784,"William Morrow (December 26, 2017)",English,4.2 x 1.8 x 7.5 inches,14.7 ounces,4.7
"Typhoon Fury (The Oregon Files) Hardcover – November 7, 2017",15.92,Books > Literature & Fiction > Action & Adventure,Clive Cussler Boyd Morrison,039957557X,,"G.P. Putnam's Sons (November 7, 2017)",English,6.4 x 1.6 x 9.3 inches,1.4 pounds,4.7
"Safe With Me: A psychological thriller so tense it will take your breath away Paperback – November 1, 2016",9.89,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",K.L. Slater,1786811065,374,"Bookouture (November 1, 2016)",English,5.1 x 0.8 x 7.8 inches,15.5 ounces,4
"The Girl with the Dragon Tattoo (Millennium Series) Mass Market Paperback – Unabridged, November 22, 2011",7.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stieg Larsson,307949486,672,"Vintage Crime/Black Lizard; Media Tie In, Reissue edition (November 22, 2011)",English,4.2 x 1.6 x 7.5 inches,15.2 ounces,4.3
"Without Fail (Jack Reacher) Mass Market Paperback – February 26, 2008",7.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lee Child,515144312,608,"Berkley; Reprint edition (February 26, 2008)",English,4.2 x 1.2 x 7.5 inches,11.5 ounces,4.4
"The Sweetness at the Bottom of the Pie: A Flavia de Luce Mystery Paperback – January 19, 2010",11.29,Books > Literature & Fiction > Genre Fiction,Alan Bradley,385343493,416,"Bantam; Reprint edition (January 19, 2010)",English,5.2 x 0.9 x 8 inches,8 ounces,4.3
"True Fiction (Ian Ludlow Thrillers) Hardcover – March 1, 2018",,Books > Literature & Fiction > Action & Adventure,Lee Goldberg,1503949184,,"Thomas & Mercer (April 1, 2018)",English,5.5 x 1 x 8.2 inches,14.1 ounces,4.4
"World Without End: A Novel (Kingsbridge) Paperback – October 7, 2008",17.99,Books > Literature & Fiction > Genre Fiction,Ken Follett,045122499X,1014,"Penguin Books; 1st edition (October 7, 2008)",English,5.9 x 1.7 x 9 inches,2.6 pounds,4.6
"The Western Star: A Longmire Mystery Hardcover – September 5, 2017",14.25,Books > Literature & Fiction > Genre Fiction,Craig Johnson,525426957,,"Viking; 1st edition (September 5, 2017)",English,6.4 x 1.1 x 9.3 inches,1 pounds,4.4
"I Am Pilgrim: A Thriller Paperback – December 2, 2014",9.98,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Terry Hayes,1439177732,624,"Atria/Emily Bestler Books; Reprint edition (December 2, 2014)",English,5.3 x 1.3 x 8.2 inches,1.3 pounds,4.6
The Bell Jar (Modern Classics) 1st Edition,,Books > Literature & Fiction > Poetry,Sylvia Plath,60837020,288,"Harper Perennial Modern Classics; 1 edition (August 2, 2005)",English,5.3 x 0.6 x 8 inches,1.6 ounces,4.3
"Y is for Yesterday (A Kinsey Millhone Novel) Hardcover – August 22, 2017",15.89,"Books > Mystery, Thriller & Suspense > Mystery",Sue Grafton,399163859,,"Marian Wood Books/Putnam; 1st Edition edition (August 22, 2017)",English,6.4 x 1.5 x 9.3 inches,1.6 pounds,4.2
"Autumn: A Novel (Seasonal Quartet) Paperback – October 17, 2017",10.97,Books > Literature & Fiction > Genre Fiction,Ali Smith,1101969946,288,"Anchor; Reprint edition (October 17, 2017)",English,5.1 x 0.8 x 8 inches,10.4 ounces,3.6
"Win Bigly: Persuasion in a World Where Facts Don't Matter Hardcover – October 31, 2017",16.69,Books > Humor & Entertainment > Humor,Scott Adams,735219710,,"Portfolio (October 31, 2017)",English,6.4 x 1 x 9.3 inches,13.6 ounces,4.2
"The Way of Kings Mass Market Paperback – May 24, 2011",9.99,Books > Literature & Fiction > Action & Adventure,Brandon Sanderson,765365278,1280,"Tor Fantasy; Reprint edition (May 24, 2011)",English,4.2 x 2 x 6.9 inches,1.2 pounds,4.7
"A Dog's Purpose: A Novel for Humans Paperback – December 6, 2016",8.69,Books > Literature & Fiction > Genre Fiction,W. Bruce Cameron,765388111,336,"Forge Books; Media Tie In edition (December 6, 2016)",English,5.4 x 1 x 8.3 inches,1 pounds,4.8
"Commonwealth: A Novel Paperback – May 2, 2017",10.60,Books > Literature & Fiction > Genre Fiction,Ann Patchett,62491830,336,"Harper Perennial; Reprint edition (May 2, 2017)",English,5.3 x 0.8 x 8 inches,8.8 ounces,3.8
"The Expanse Boxed Set: Leviathan Wakes, Caliban's War and Abaddon's Gate Paperback – November 3, 2015",26.99,Books > Science Fiction & Fantasy > Science Fiction,James S. A. Corey,316311294,1792,"Orbit; Box edition (November 3, 2015)",English,6 x 4.8 x 9.2 inches,4.8 pounds,4.7
"Dark Matter: A Novel Paperback – May 2, 2017",12.82,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Blake Crouch,1101904240,368,"Broadway Books; Reprint edition (May 2, 2017)",English,5.2 x 0.8 x 8 inches,10.4 ounces,4.4
"Good Clean Fun: Misadventures in Sawdust at Offerman Woodshop Hardcover – October 18, 2016",20.66,"Books > Crafts, Hobbies & Home > Home Improvement & Design",Nick Offerman,1101984651,,"Dutton (October 18, 2016)",English,8.3 x 1 x 10.3 inches,2.4 pounds,4.6
"The Bluest Eye (Vintage International) Paperback – May 8, 2007",12.43,Books > Literature & Fiction > Genre Fiction,Toni Morrison,307278441,224,"Vintage; Reprint edition (May 8, 2007)",English,5.2 x 0.6 x 8 inches,8 ounces,4.1
"The Stand Paperback – August 7, 2012",12.16,Books > Literature & Fiction > Genre Fiction,Stephen King,307947300,1200,"Anchor; Reprint edition (August 7, 2012)",English,5.2 x 2 x 7.9 inches,1.5 pounds,4.6
"Monster Hunter Memoirs: Saints Hardcover – July 3, 2018",20.25,Books > Science Fiction & Fantasy > Fantasy,Larry Correia,1481483072,,"Baen (July 3, 2018)",English,,1.7 pounds,
"Neil Gaiman/Chris Riddell 3-Book Box Set: Coraline; The Graveyard Book; Fortunately, the Milk Paperback – September 8, 2015",11.99,Books > Children's Books > Science Fiction & Fantasy,Neil Gaiman,62379828,512,"HarperCollins; Reprint edition (September 8, 2015)",English,5.5 x 1.8 x 8 inches,1.3 pounds,4.9
"American Gods Volume 1: Shadows (Graphic Novel) Hardcover – March 13, 2018",19.49,Books > Comics & Graphic Novels > Graphic Novels,Neil Gaiman,1506703860,,"Dark Horse Books (March 13, 2018)",English,7 x 1 x 10.5 inches,2.2 pounds,5
"The World of the Witcher: Video Game Compendium Hardcover – May 19, 2015",30.46,Books > Arts & Photography > Other Media,CD Projekt Red,1616554827,,"Dark Horse Books; First Edition edition (May 19, 2015)",English,9.3 x 0.8 x 12.3 inches,3 pounds,4.7
"Aftermath: Star Wars (Star Wars: The Aftermath Trilogy) Paperback – March 29, 2016",8.99,Books > Literature & Fiction > Genre Fiction,Chuck Wendig,1101885920,432,"Del Rey; Reissue edition (March 29, 2016)",English,4.2 x 1 x 7.5 inches,8 ounces,2.9
"A Discovery of Witches (All Souls Trilogy) Paperback – December 27, 2011",12.80,Books > Literature & Fiction > Genre Fiction,Deborah Harkness,143119680,579,"Penguin Books; 1st edition (December 27, 2011)",English,5.5 x 1.3 x 8.5 inches,1 pounds,4.3
"Midnight's Children: A Novel (Modern Library 100 Best Novels) Paperback – April 4, 2006",14.40,Books > Science Fiction & Fantasy > Fantasy,Salman Rushdie,812976533,536,"Random House Trade Paperbacks; 25th Anniversary edition (April 4, 2006)",English,5.2 x 1.3 x 7.9 inches,14.4 ounces,3.9
"Stygian: A Dark-Hunter Novel (Dark-Hunter Novels) Hardcover – August 28, 2018",25.19,Books > Science Fiction & Fantasy > Fantasy,Sherrilyn Kenyon,1250102685,,"Tor Books (August 28, 2018)",English,6.1 x 9.2 inches,1.7 pounds,
"Valerian: The Complete Collection , Volume 1 (Valerian & Laureline) Hardcover – June 1, 2017",20.04,Books > Comics & Graphic Novels > Graphic Novels,Pierre Christin,184918352X,,"Cinebook, Ltd (June 1, 2017)",English,9 x 0.6 x 11.8 inches,2 pounds,4.3
"Overlord, Vol. 3 - light novel Hardcover – January 31, 2017",16.00,Books > Science Fiction & Fantasy > Fantasy,Kugane Maruyama,316363936,,"Yen On (January 31, 2017)",English,5.8 x 1 x 8.5 inches,15.5 ounces,4.8
"Alice's Adventures in Wonderland Hardcover – October 27, 2015",24.03,"Books > Children's Books > Activities, Crafts & Games",Lewis Carroll,147515874,,"Puffin Books; Anv edition (October 27, 2015)",English,7.9 x 1 x 9.9 inches,2 pounds,4.4
"Descender Volume 5: Rise of the Robots Paperback – January 16, 2018",11.59,Books > Comics & Graphic Novels > Graphic Novels,Jeff Lemire,1534303456,120,"Image Comics (January 16, 2018)",English,6.5 x 0.4 x 10 inches,6.4 ounces,4
"Guilty: A gripping psychological thriller that will have you hooked Paperback – June 20, 2017",9.89,"Books > Mystery, Thriller & Suspense > Mystery",Laura Elliot,178681143X,392,"Bookouture (June 20, 2017)",English,5.1 x 0.9 x 7.8 inches,13.8 ounces,4.3
"Fall of Giants: Book One of the Century Trilogy Mass Market Paperback – September 4, 2012",8.09,Books > Literature & Fiction > Genre Fiction,Ken Follett,451232852,960,"Penguin Books; Reprint edition (September 4, 2012)",English,4.2 x 1.6 x 6.8 inches,13.6 ounces,4.5
"The Plea: A Novel Hardcover – February 13, 2018",18.35,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Steve Cavanagh,1250105560,,"Flatiron Books (February 13, 2018)",English,6.5 x 1.2 x 9.6 inches,10.4 ounces,4.4
"The Hypnotist's Love Story Paperback – June 4, 2013",10.29,Books > Literature & Fiction > Genre Fiction,Liane Moriarty,425260933,466,"Berkley; Reprint edition (June 4, 2013)",English,5.4 x 1 x 8.2 inches,15.2 ounces,4.1
"All By Myself, Alone Paperback – January 11, 2018",12.42,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Mary Higgins Clark,1471162842,352,"Simon & Schuster Ltd (January 11, 2018)",English,5.1 x 1 x 7.8 inches,10.6 ounces,4.3
